company_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,car_name
Toyota,300000,2013,1364,Third Party,Manual,40000,First Owner,Diesel,67.06bhp,5,23.59,Hatchback,Agra,Etios Liva GD
Renault,500000,2017,1461,Third Party,Manual,120000,First Owner,Diesel,83.8bhp,5,19.87,SUV,Agra,Duster 85PS Diesel
Maruti,210000,2015,796,Third Party,Manual,20000,First Owner,Petrol,47.3bhp,5,22.74,Hatchback,Agra,Alto 800 LXI
Maruti,100000,2009,998,Third Party,Manual,90000,Second Owner,Petrol,67.1bhp,5,18.9,Hatchback,Agra,Wagon R LX
Mahindra,900000,2015,2179,Third Party,Manual,50000,First Owner,Diesel,140bhp,7,16,SUV,Agra,XUV500 W10 2WD
Kia,1349000,2020,1493,Third Party,Manual,70000,First Owner,Diesel,113.43bhp,5,20.8,SUV,Agra,Seltos HTX Diesel
Maruti,650000,2019,1248,Third Party,Manual,50000,First Owner,Diesel,74.02bhp,5,28.4,Sedan,Agra,Swift Dzire VDI
Maruti,475000,2019,998,Third Party,Manual,20000,First Owner,Petrol,67.05bhp,5,21.79,Hatchback,Agra,Wagon R LXI
Nissan,320000,2014,1461,Third Party,Manual,90000,Second Owner,Diesel,83.8bhp,5,20.45,SUV,Agra,Terrano XE 85
Hyundai,370000,2015,1197,Third Party,Manual,60000,Second Owner,Petrol,82bhp,5,18.9,Hatchback,Agra,Grand i10 Sportz
Maruti,110000,2009,1061,Third Party,Manual,90000,Second Owner,Petrol,67bhp,5,18.9,Hatchback,Agra,Wagon R LXI
Chevrolet,595000,2009,995,Third Party,Manual,60000,Second Owner,Petrol,"63PS at 5,400 rpm",5,16,Hatchback,Agra,Spark 1.0 LT
Ford,550000,2020,1499,Third Party,Manual,60000,Second Owner,Diesel,98.96bhp,5,24.4,Hatchback,Agra,Figo Titanium Diesel
Honda,390000,2015,1498,Third Party,Manual,90000,Second Owner,Diesel,98.6bhp,5,27.3,Hatchback,Agra,Jazz 1.5 E
Hyundai,250000,2017,1086,Third Party,Manual,20000,Second Owner,Petrol,68.05bhp,5,19.81,Hatchback,Agra,i10 Magna 1.1L
Maruti,200000,2013,796,Third Party,Manual,80000,First Owner,Petrol,47.3bhp,5,22.74,Hatchback,Agra,Alto 800 VXI
Maruti,725000,2022,1197,Third Party,Manual,10000,First Owner,Petrol,88.50bhp,5,22.41,Sedan,Agra,Swift Dzire VXI
Honda,450000,2017,1498,Third Party,Manual,110000,First Owner,Diesel,98.6bhp,5,27.3,Hatchback,Agra,Jazz 1.5 V
Honda,750000,2017,1498,Third Party,Manual,120000,First Owner,Diesel,97.9bhp,5,25.6,Sedan,Agra,City i-DTEC ZX
Toyota,215000,2011,1364,Third Party,Manual,70000,Third Owner,Diesel,97.9bhp,5,23.59,Hatchback,Agra,Etios Liva GD
Maruti,206000,2013,796,Third Party,Manual,80000,First Owner,Petrol,47.3bhp,5,22.74,Hatchback,Agra,Alto 800 VXI
Mahindra,550000,2015,2179,Third Party,Manual,120000,First Owner,Diesel,140bhp,7,16,SUV,Agra,XUV500 W8 2WD
Maruti,250000,2012,998,Third Party,Manual,150000,First Owner,CNG,58.2bhp,5,26.2,Hatchback,Agra,Wagon R LXI
Maruti,210000,2013,796,Third Party,Manual,80000,First Owner,Petrol,47.3bhp,5,22.74,Hatchback,Agra,Alto 800 VXI
Toyota,250000,2011,1496,Third Party,Manual,70000,Second Owner,Petrol,47.3bhp,5,17.6,Sedan,Agra,Etios V
Renault,185000,2016,799,Third Party,Manual,60000,Second Owner,Petrol,53.3bhp,5,25.17,Hatchback,Agra,KWID RXL
Hyundai,300000,2014,1197,Third Party,Manual,70000,Third Owner,Petrol,82bhp,5,18.9,Hatchback,Agra,Grand i10 Sportz
Chevrolet,595000,2009,995,Third Party,Manual,60000,Third Owner,Petrol,62bhp,5,18,Hatchback,Agra,Spark 1.0 LT
Chevrolet,595000,2009,995,Third Party,Manual,60000,Second Owner,Petrol,62bhp,5,18,Hatchback,Agra,Spark 1.0 LT
Hyundai,250000,2013,1120,Third Party,Manual,100000,Second Owner,Diesel,70bhp,5,24,Hatchback,Agra,Grand i10 CRDi
Maruti,190000,2012,1586,Third Party,Manual,120000,Second Owner,Petrol,103.3bhp,5,15.5,Sedan,Agra,SX4 ZXI MT
Maruti,650000,2019,1197,Third Party,Manual,40000,First Owner,Petrol,81.80bhp,5,21.21,Sedan,Agra,Swift Dzire VXI
Mahindra,500000,2013,2179,Third Party,Manual,80000,First Owner,Diesel,120bhp (86.7kw),8,15.4,SUV,Agra,Scorpio VLX SE
